restaurant_name,review_count,avg_sentiment_score,positive_review_ratio,negative_review_ratio,avg_review_length,avg_subjectivity,area,restaurant_rating,user_rating_count
"A One Cafe Old Baneshwor, 01-4586546",5,0.79162,1.0,0.0,54.4,0.5879960317460318,Baneshwor,3.4,477.0
Aaila chhen,5,0.7302799999999999,1.0,0.0,13.8,0.57,Koteshwor,5.0,15.0
Aalucha,5,0.44189999999999996,0.8,0.2,56.6,0.5136959706959707,Bhaktapur Durbar Square,3.9,593.0
Aamako Bara Pasal,5,0.85036,1.0,0.0,81.8,0.512530982905983,Bhaktapur Durbar Square,4.1,196.0
"Alcove Restaurant , a Sanctuary",7,0.5507000000000001,0.8571428571428571,0.14285714285714285,56.57142857142857,0.5917105381391096,Baneshwor,3.5,277.0
Alphabet Pizzeria,5,0.98038,1.0,0.0,70.6,0.6161708569208569,Bhaktapur Durbar Square,4.5,1163.0
Antea Restro,5,0.93406,1.0,0.0,36.0,0.699985347985348,Koteshwor,4.5,103.0
At soul by Soul Cafe,5,0.6864399999999999,0.8,0.2,56.6,0.6108171991825838,Baneshwor,4.2,49.0
BAITHAK SEKUWA,5,0.58152,0.8,0.2,41.4,0.5863145743145742,Koteshwor,4.4,20.0
Baiga Vutoo,5,0.9305199999999999,1.0,0.0,28.8,0.6810055555555555,Bhaktapur Durbar Square,4.7,80.0
Baithak restro and bar,3,0.7674333333333333,1.0,0.0,10.0,0.665,Koteshwor,5.0,10.0
Balakhu Food Point,5,0.8976200000000001,1.0,0.0,47.6,0.547347496947497,Bhaktapur Durbar Square,4.8,315.0
Bambooze Corner Garden Restaurant,5,0.46259999999999996,0.8,0.2,91.2,0.5728524531024531,Bhaktapur Durbar Square,3.7,143.0
Baneshwor Garden by RnB,5,0.7285,0.8,0.0,49.2,0.5476325526325526,Baneshwor,4.0,84.0
Barbeque Chulo,3,0.49266666666666664,0.6666666666666666,0.0,31.666666666666668,0.4217249417249418,Koteshwor,4.1,16.0
Bardali Restro & Meetings,5,0.5865,0.8,0.2,58.8,0.6174586894586895,Baneshwor,3.8,559.0
Bawarchi Food Cafe (BFC),5,0.59872,0.8,0.2,48.2,0.7088760683760684,Koteshwor,3.4,118.0
Bhaktapur Durbar Square,5,0.9864599999999999,1.0,0.0,108.8,0.5920518518518518,Bhaktapur Durbar Square,4.6,23820.0
Bhaktapur Kitchen,5,0.63378,1.0,0.0,22.0,0.42672727272727273,Bhaktapur Durbar Square,4.0,19.0
Bhatbhateni Food Park (Bhaktapur),5,0.25532000000000005,0.6,0.4,55.2,0.6165952380952382,Bhaktapur Durbar Square,2.9,109.0
Bhintuna food cafe,5,0.34276,0.8,0.2,16.6,0.5346666666666666,Bhaktapur Durbar Square,4.7,33.0
Bibimbap Korean Restaurant,5,0.41954,0.8,0.2,62.6,0.5212638888888889,New Road,4.4,131.0
Biryani Adda & Tandoor Newroad,5,0.8202,1.0,0.0,23.4,0.6185476190476191,New Road,4.5,235.0
Black & Yellow Cafe,5,0.81472,1.0,0.0,24.8,0.6809382716049383,Koteshwor,4.5,13.0
Black Burger,5,0.7317199999999999,0.8,0.2,24.0,0.657941391941392,Koteshwor,4.5,17.0
Blue Coriander Restaurant,5,0.3862,0.4,0.0,25.8,0.46975,Baneshwor,4.5,22.0
Bottlehouse - BYOB & Dine-in,5,0.29488,0.6,0.2,60.0,0.5221949550449551,Baneshwor,4.6,67.0
Breakfast House Thamel,5,0.90546,1.0,0.0,50.0,0.6302500944822373,New Road,4.9,926.0
Byanjan House (Daura Chulo),5,0.7516,1.0,0.0,41.6,0.6077718253968254,Koteshwor,4.1,145.0
CULTURE CAFE & BAR,5,0.77138,1.0,0.0,56.2,0.6554404761904762,Bhaktapur Durbar Square,4.6,53.0
Cafe Boh,5,0.80418,1.0,0.0,79.6,0.5677108734402851,Bhaktapur Durbar Square,4.5,278.0
Cafe De Taj Restro,5,0.48456,0.8,0.2,20.6,0.6300000000000001,Koteshwor,3.6,105.0
Cafe JAC Bhaktapur,5,0.8817999999999999,1.0,0.0,21.2,0.6601269841269841,Bhaktapur Durbar Square,4.7,7.0
Carnival Restro & Meetings,5,0.9153,1.0,0.0,50.0,0.5905297619047619,Baneshwor,4.0,451.0
Chez Caroline,5,0.9516199999999999,1.0,0.0,79.6,0.6279890289449113,Baneshwor,4.5,684.0
Chicken Station Koteshwor,5,0.23384,0.6,0.4,61.0,0.6428412698412698,Koteshwor,3.9,192.0
ChiyaBhatti Cafe,5,0.6237,0.8,0.2,32.0,0.5377693121693121,Bhaktapur Durbar Square,3.8,128.0
Cin Cin Garden,5,0.9471399999999999,1.0,0.0,41.4,0.6302323232323233,Bhaktapur Durbar Square,4.6,611.0
CityScape Garden Grill,5,0.2985,0.8,0.2,109.8,0.5931507936507937,New Road,3.4,272.0
Cityscape Legacy Lounge and Bar,4,0.75385,1.0,0.0,11.0,0.6734848484848485,Baneshwor,5.0,6.0
Coffee in Style,5,0.8817999999999999,1.0,0.0,47.2,0.6246038961038961,Bhaktapur Durbar Square,4.4,107.0
Community at The Nanee,5,0.9260999999999999,1.0,0.0,63.8,0.6126427738927739,Bhaktapur Durbar Square,4.7,78.0
Corner Point Restaurant &Bar,5,0.93712,1.0,0.0,61.0,0.6863928571428571,New Road,4.6,45.0
Crossroad Restro & Lounge Bar,5,0.7489600000000001,1.0,0.0,32.4,0.5805476190476191,Koteshwor,4.4,11.0
